Manufacturer,Class,Name,Year,Fab,Transistors (mln),Die size,Memory size,Memory speed,GFLOPS,TDP,G/D
AMD Radeon,Desktop,Radeon HD 2400 XT,2007,65,180,85,256,11.2,52,25,0.611764706
Nvidia,Workstation,Quadro FX 580,2009,55,314,121,512,25.6,72,40,0.595041322
Nvidia,Desktop,GeForce 8600 GTS,2007,80,289,169,512,32,92.8,71,0.549112426
AMD Radeon,Desktop,Radeon HD 2350,2007,65,180,85,64,3.2,42,20,0.494117647
AMD Radeon,Desktop,Radeon HD 2400 PRO,2007,65,180,85,512,6.4,42,20,0.494117647
AMD Radeon,Desktop,Radeon HD 3410,2009,65,180,85,256,6.34,41.52,20,0.488470588
AMD Radeon,Workstation,FirePro 2450,2009,55,181,67,512,25.6,32,32,0.47761194
Nvidia,Workstation,Quadro FX 4600,2007,90,681,484,768,67.2,230.4,134,0.476033058
Nvidia,Desktop,GeForce 8800 GTS,2007,90,681,484,640,64,228,146,0.47107438
Nvidia,Desktop,GeForce 8600 GT,2007,80,289,169,1024,22.4,76,45,0.449704142
Nvidia,Desktop,GeForce 8600 GS,2007,80,289,169,512,12.8,75.5,47,0.446745562
Nvidia,Desktop,GeForce 9400,2008,65,282,162,512,21.328,67.2,12,0.414814815
Nvidia,Desktop,GeForce 205,2009,40,260,57,512,8,22.4,30.5,0.392982456
Nvidia,Workstation,Quadro FX 1700,2007,80,289,169,512,25.6,58.8,42,0.347928994
Nvidia,Desktop,GeForce 8400 GS rev.3,2010,40,260,57,1024,9.6,19.7,25,0.345614035
Nvidia,Desktop,GeForce 9400 GT,2008,55,314,144,1024,25.6,44.8,50,0.311111111
Nvidia,Desktop,GeForce 8400 GS rev.2,2007,65,210,86,512,6.4,24.4,25,0.28372093
Nvidia,Desktop,GeForce 9300 GS,2008,65,210,86,256,8,22.4,25,0.260465116
Nvidia,Workstation,Quadro FX 380,2009,65,314,144,256,22.4,35.2,34,0.244444444
Nvidia,Desktop,GeForce 9300 GE,2008,65,210,86,256,8,20.8,25,0.241860465
Nvidia,Desktop,GeForce 8400 GS,2007,80,210,127,512,6.4,28.8,40,0.226771654
Nvidia,Desktop,GeForce 8500 GT,2007,80,210,127,1024,12.8,28.8,45,0.226771654
Nvidia,Workstation,Quadro FX 370,2007,80,289,169,256,6.4,34.56,53,0.204497041
Nvidia,Workstation,Quadro FX 570,2007,80,289,169,256,12.8,29.44,38,0.174201183
Nvidia,Workstation,Quadro FX 3800,2009,55,1400,470,1024,51.2,57.79,108,0.122957447
Nvidia,Desktop,GeForce 8300 GS,2007,80,210,127,512,6.4,14.4,40,0.113385827
